Row Type,Vote,Description,Date,Outcome,NewsLink,Ken Sim,Brian Montague,Sarah Kirby-Yung,Mike Klassen,Lenny Zhou,Peter Meiszner,Lisa Dominato,Rebecca Bligh,Pete Fry,Adriane Carr,Christine Boyle,Lucy Maloney,Sean Orr
CouncilVote,9139,2. Broadway Active Transportation Lanes - Next Steps,2023-03-30,,,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,In Opposition,In Opposition,,
,,,,,,,,,,,,,,,,,,
Vote,Cornwall Avenue safety speed reduction,"Extends a reduced-speed pilot along Cornwall Avenue to protect people walking, cycling, and driving.",2023-04-26,Pass,https://dailyhive.com/vancouver/cornwall-avenue-kitsilano-avenue-lower-speed-limit-2023,Absent,Absent,Absent,Supported,Supported,Supported,Supported,Absent,Supported,Supported,Supported,,
CouncilVote,9215,10. Protecting People on Cornwall Avenue (Members' Motion B3),2023-04-26,,,Absent,Absent,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Opposition,In Opposition,In Opposition,,
CouncilVote,9216,10. Protecting People on Cornwall Avenue (Members' Motion B3),2023-04-26,,,Absent,Absent,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,,
CouncilVote,9217,10. Protecting People on Cornwall Avenue (Members' Motion B3),2023-04-26,,,Absent,Absent,Absent,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
Vote,West-side parking minimums,Removes required minimum off-street parking in major west-side areas.,2023-11-15,Pass,https://vancouver.citynews.ca/2023/11/16/vancouver-minimum-parking-requirements-removed/,Supported,Supported,Supported,Supported,Supported,Absent,Supported,Absent,Supported,Supported,Supported,,
CouncilVote,9650,R1. Elimination of Minimum Parking Requirements - Phase 2,2023-11-15,,,In Favour,In Favour,In Favour,In Favour,In Favour,Absent,In Favour,Absent,In Favour,In Favour,In Favour,,
,,,,,,,,,,,,,,,,,,
